FID,Shape_Leng,Shape_Area,Tehsil,District,Province,Country,date,Lattitude,Longitude
335,1.612165567,0.078775827,Sakrand,Shaheed Benazirabad,Sindh,Pakistan,2018-11-30,26.14271636,68.20061215
336,0.689548404,0.023441186,Salarzai Tehsil,Bajaur,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.87015244,71.52788154
337,2.535293102,0.26834024,Salehpat,Sukkur,Sindh,Pakistan,2018-11-30,27.33769448,69.29678841
338,0.700757709,0.02663497,Sam Ranizai,Malakand PA,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.4709495,71.87734725
339,1.051582505,0.050446297,Samar Bagh,Lower Dir,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.91298376,71.67781515
340,1.115217684,0.054553179,Samaro,Umerkot,Sindh,Pakistan,2018-11-30,25.31953275,69.42800007
341,1.211464811,0.046868371,Sambrial,Sialkot,Punjab,Pakistan,2018-11-30,32.44893094,74.34950101
342,1.606979652,0.114880804,Sangan,Sibi,Balochistan,Pakistan,2018-11-30,29.93284795,67.60546984
343,2.339163209,0.198598659,Sanghar,Sanghar,Sindh,Pakistan,2018-11-30,26.10894121,69.04813644
344,1.394534605,0.046257231,Sangla Hill,Nankana Sahib,Punjab,Pakistan,2018-11-30,31.69621309,73.47480248
345,2.177365972,0.185806485,Sanni,Kachhi,Balochistan,Pakistan,2018-11-30,29.02234123,67.51465464
346,1.303323077,0.046626236,Sarai Alamgir,Gujrat,Punjab,Pakistan,2018-11-30,32.90589782,73.80830589
347,1.544572668,0.057772789,Sarai Naurang,Lakki Marwat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.75501765,70.74070609
348,2.303011766,0.07309533,Sararogha,South Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.46184592,70.07371297
349,2.668412543,0.138841492,Sargodha,Sargodha,Punjab,Pakistan,2018-11-30,32.04328424,72.73969228
350,2.407389184,0.211581318,Sehwan,Jamshoro,Sindh,Pakistan,2018-11-30,26.24093538,67.69759727
351,1.489835116,0.034425641,Serwekai,South Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.32102726,69.90818081
352,3.877425601,0.267681773,Shah Bander,Sujawal,Sindh,Pakistan,2018-11-30,24.06400187,67.97709151
353,1.001607126,0.036501988,Shahdadkot,Qambar Shahdadkot,Sindh,Pakistan,2018-11-30,27.9092024,67.94039504
354,1.631701441,0.079327823,Shahdadpur,Sanghar,Sindh,Pakistan,2018-11-30,26.05396256,68.5778501
355,2.048309307,0.166495264,Shaheed Fazal Rahu,Badin,Sindh,Pakistan,2018-11-30,24.63729957,68.5682705
356,0.628370028,0.014043344,Shahkot,Nankana Sahib,Punjab,Pakistan,2018-11-30,31.5543799,73.5866641
357,1.560836111,0.075393285,Shahpur,Sargodha,Punjab,Pakistan,2018-11-30,32.2186704,72.50722353
358,1.592081767,0.121742597,Shakargarh,Narowal,Punjab,Pakistan,2018-11-30,32.25310202,75.13765577
359,1.046496772,0.035485423,Sharqpur,Sheikhupura,Punjab,Pakistan,2018-11-30,31.51087533,74.08421633
360,2.675674937,0.280341948,Sheerani,Sheerani,Balochistan,Pakistan,2018-11-30,31.64304382,69.77419401
361,2.180300984,0.11935989,Sheikhupura,Sheikhupura,Punjab,Pakistan,2018-11-30,31.72648174,73.88632488
362,1.023366071,0.03938509,Shewa,North Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.26957162,70.45366907
363,1.267656043,0.052094806,Shikarpur,Shikarpur,Sindh,Pakistan,2018-11-30,28.03818392,68.52047934
364,3.194404265,0.217213163,Shinkai,Killa Saifullah,Balochistan,Pakistan,2018-11-30,31.02208066,68.90679184
365,2.32403881,0.116668907,Shorkot,Jhang,Punjab,Pakistan,2018-11-30,30.876968,72.17790295
366,1.364105819,0.078158679,Shuabad,Multan,Punjab,Pakistan,2018-11-30,29.83451883,71.31420757
367,1.638317254,0.097574502,Sialkot,Sialkot,Punjab,Pakistan,2018-11-30,32.57878556,74.53944436
368,2.707217766,0.211037365,Sibi,Sibi,Balochistan,Pakistan,2018-11-30,29.65768207,67.91309117
369,1.763271374,0.058084037,Sillanwali,Sargodha,Punjab,Pakistan,2018-11-30,31.78666947,72.53491047
370,2.201020476,0.171032519,Sinjawi,Ziarat,Balochistan,Pakistan,2018-11-30,30.35401535,68.16403487
