FID,Shape_Leng,Shape_Area,Tehsil,District,Province,Country,date,Lattitude,Longitude
73,2.213198899,0.181991222,Data Khel,North Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.87045078,69.66493216
74,2.373293249,0.194349484,Daur,Shaheed Benazirabad,Sindh,Pakistan,2018-11-30,26.44383916,68.51681683
75,4.677661149,0.445154676,De- Excluded Area Rajanpur,Rajanpur,Punjab,Pakistan,2018-11-30,29.22006788,69.76737914
76,3.96033134,0.507259268,De-excluded Area D.G.Khan,Dera Ghazi Khan,Punjab,Pakistan,2018-11-30,30.40223113,70.25810844
77,2.734279259,0.240311261,Depalpur,Okara,Punjab,Pakistan,2018-11-30,30.59629358,73.81095247
78,2.803746309,0.227946209,Dera Bugti,Dera Bugti,Balochistan,Pakistan,2018-11-30,29.01401019,68.85264738
79,3.020002637,0.338754401,Dera Ghazi Khan,Dera Ghazi Khan,Punjab,Pakistan,2018-11-30,30.0344799,70.59378013
80,3.952076756,0.322353362,Dera Ismail Khan,Dera Ismail Khan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,31.83024475,70.78793491
81,1.536818717,0.106211375,Dera Murad Jamali,Nasirabad,Balochistan,Pakistan,2018-11-30,28.5952215,68.15687811
82,1.369781214,0.05358141,Digri,Mirpur Khas,Sindh,Pakistan,2018-11-30,25.14675734,69.10238318
83,2.138425928,0.069640104,Dina,Jhelum,Punjab,Pakistan,2018-11-30,33.00277074,73.54420422
84,2.828306756,0.352226438,Diplo,Tharparkar,Sindh,Pakistan,2018-11-30,24.46464638,69.49608549
85,2.54234769,0.191500468,Dir,Upper Dir,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.3220867,72.02191302
86,0.92422684,0.038207358,Dokri,Larkana,Sindh,Pakistan,2018-11-30,27.26236749,68.06436278
87,1.395473496,0.044867928,Domel,Bannu,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.94852328,70.79727255
88,0.792718784,0.024672113,Dossali,North Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.84003118,70.02436864
89,2.397906256,0.157997361,Drazanda,FR Dera Ismail Khan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,31.57662632,70.15160552
90,3.817890832,0.406811697,Duki,Loralai,Balochistan,Pakistan,2018-11-30,30.15958863,69.00725729
91,1.796207433,0.075222974,Dunyapur,Lodhran,Punjab,Pakistan,2018-11-30,29.82813861,71.71792003
92,3.305122927,0.30359037,Dureji,Las Bela,Balochistan,Pakistan,2018-11-30,25.9368505,67.18699423
93,2.493926991,0.122474906,Faisalabad City,Faisalabad,Punjab,Pakistan,2018-11-30,31.35646528,73.01503556
94,0.711983255,0.019007108,Faisalabad Saddar,Faisalabad,Punjab,Pakistan,2018-11-30,31.43080825,73.0976512
95,1.231569778,0.090250272,Faiz Ganj,Khairpur,Sindh,Pakistan,2018-11-30,26.78165033,68.4610112
96,1.878687877,0.126908163,Fateh Jang,Attock,Punjab,Pakistan,2018-11-30,33.51965643,72.63225847
97,1.38084669,0.054128415,Ferozewala,Sheikhupura,Punjab,Pakistan,2018-11-30,31.69890122,74.25736494
98,2.753328558,0.220212227,Fort Abbas,Bahawalnagar,Punjab,Pakistan,2018-11-30,29.11140397,72.6770371
99,1.053715084,0.050618888,Gaddani,Las Bela,Balochistan,Pakistan,2018-11-30,25.08393259,66.80621654
100,0.725872088,0.01956775,Gagra,Buner,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.46934674,72.52973116
101,1.036495926,0.052062481,Gambat,Khairpur,Sindh,Pakistan,2018-11-30,27.46441217,68.41814722
102,1.077825525,0.052484195,Gandakha,Jaffarabad,Balochistan,Pakistan,2018-11-30,28.07851011,67.76117054
103,2.701228765,0.187704352,Gandawa,Jhal Magsi,Balochistan,Pakistan,2018-11-30,28.56576004,67.54326398
104,1.326801441,0.068312063,Garhi Khairo,Jacobabad,Sindh,Pakistan,2018-11-30,28.04970127,68.1488943
105,1.404070878,0.086400716,Garhi Yasin,Shikarpur,Sindh,Pakistan,2018-11-30,27.85932789,68.45411296
106,1.228438256,0.032200462,Garyum,North Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.75783175,70.12071548
107,1.62678902,0.058113153,Ghazi,Haripur,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.09856084,72.74383012
108,3.29806766,0.10286625,Ghorabari,Thatta,Sindh,Pakistan,2018-11-30,24.37116485,67.696208
109,1.279796691,0.077614887,Ghotki,Ghotki,Sindh,Pakistan,2018-11-30,28.0235653,69.35348093
110,0.729780348,0.019697294,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.1158987,70.02675073
111,5.624364865,0.779316121,Gichk,Panjgur,Balochistan,Pakistan,2018-11-30,26.7455867,64.43339538
112,1.763502323,0.065248624,Gojra,Toba Tek Singh,Punjab,Pakistan,2018-11-30,31.14492253,72.68488076
113,2.306233546,0.142764986,Gujar Khan,Rawalpindi,Punjab,Pakistan,2018-11-30,33.24648665,73.24431043
114,1.591394259,0.082370535,Gujranwala,Gujranwala,Punjab,Pakistan,2018-11-30,32.1472555,74.18602788
115,2.037451981,0.137796937,Gujrat,Gujrat,Punjab,Pakistan,2018-11-30,32.6348939,74.14159887
116,3.965214428,0.386178918,Gwadar,Gwadar,Balochistan,Pakistan,2018-11-30,25.40157199,62.10005612
117,1.428008834,0.104925759,Hafizabad,Hafizabad,Punjab,Pakistan,2018-11-30,32.10554599,73.64053261
118,1.569192537,0.067046565,Hala,Matiari,Sindh,Pakistan,2018-11-30,25.89908232,68.38634962
119,0.780127123,0.020722589,Halimzai,Mohmand,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.39279338,71.34177879
120,1.288953203,0.064299851,Hangu,Hangu,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.47927736,70.99805055
121,2.168419248,0.129441155,Haripur,Haripur,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.96301008,72.96298613
122,3.727610267,0.285723673,Harnai,Harnai,Balochistan,Pakistan,2018-11-30,30.12901354,67.86501031
123,1.619165801,0.10503482,Haroonabad,Bahawalnagar,Punjab,Pakistan,2018-11-30,29.44758253,73.00843827
124,2.127833362,0.106592129,Hasilpur,Bahawalpur,Punjab,Pakistan,2018-11-30,29.62926154,72.52212733
125,1.279409389,0.037051113,Hassan Abdal,Attock,Punjab,Pakistan,2018-11-30,33.81221956,72.67605958
126,0.982925284,0.02524559,Hassan Khel,FR Peshawar,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.73471654,71.72159236
127,1.158331783,0.043753389,Hazro,Attock,Punjab,Pakistan,2018-11-30,33.90967324,72.45690991
128,0.974196579,0.03586672,Hub,Las Bela,Balochistan,Pakistan,2018-11-30,25.21711198,67.00200685
129,1.47475606,0.066718183,Hyderabad,Hyderabad,Sindh,Pakistan,2018-11-30,25.36070916,68.48483265
130,0.191365255,0.001861679,Hyderabad City,Hyderabad,Sindh,Pakistan,2018-11-30,25.40748536,68.32859189
131,2.923959696,0.181408754,Isakhel,Mianwali,Punjab,Pakistan,2018-11-30,32.87680271,71.37220433
132,1.659221561,0.087284896,Islamabad,Islamabad,Federal Capital Territory,Pakistan,2018-11-30,33.6711856,73.12346605
133,0.905753962,0.023126547,Ismailzai,Orakzai,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.60233182,70.92615243
134,1.247482396,0.063087955,Jacobabad,Jacobabad,Sindh,Pakistan,2018-11-30,28.24026934,68.37704898
135,1.456703659,0.046698412,Jahanian,Khanewal,Punjab,Pakistan,2018-11-30,30.05986327,71.78924659
136,1.583582801,0.081101473,Jalalpur Pirwala,Multan,Punjab,Pakistan,2018-11-30,29.5681584,71.20756145
137,2.289146468,0.206020401,Jampur,Rajanpur,Punjab,Pakistan,2018-11-30,29.55646007,70.3622078
138,1.098759468,0.035383632,Jamrud,Khyber,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.0468353,71.31344105
139,1.225463891,0.042749667,Jan Nawaz Ali,Sanghar,Sindh,Pakistan,2018-11-30,25.79904512,68.87073635
140,3.310950499,0.22019066,Jand,Attock,Punjab,Pakistan,2018-11-30,33.39675131,72.03327735
141,1.804022635,0.109871227,Jandola,FR Tank,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.45400728,70.27787523
142,2.291360406,0.163687261,Jaranwala,Faisalabad,Punjab,Pakistan,2018-11-30,31.34151011,73.40298611
143,2.981919661,0.315132903,Jati,Sujawal,Sindh,Pakistan,2018-11-30,24.25744186,68.40206064
144,1.734464513,0.097892622,Jatoi,Muzaffargarh,Punjab,Pakistan,2018-11-30,29.62177422,70.87629989
145,5.974134218,1.04966925,Jhal Jao,Awaran,Balochistan,Pakistan,2018-11-30,26.14229242,65.76813486
146,1.87772396,0.165983117,Jhal Magsi,Jhal Magsi,Balochistan,Pakistan,2018-11-30,28.22434034,67.50529041
147,4.166440833,0.40314962,Jhang,Jhang,Punjab,Pakistan,2018-11-30,31.33024093,72.23618819
148,1.585836317,0.075703945,Jhat Pat,Jaffarabad,Balochistan,Pakistan,2018-11-30,28.36820347,68.23863775
149,2.195610885,0.058171462,Jhelum,Jhelum,Punjab,Pakistan,2018-11-30,32.84155021,73.54895454
150,1.131331971,0.049286368,Jhuddo,Mirpur Khas,Sindh,Pakistan,2018-11-30,24.97140011,69.35267165
151,1.246614664,0.034463481,Jiwani,Gwadar,Balochistan,Pakistan,2018-11-30,25.1480319,61.81999496
152,2.846733818,0.324184647,Johi,Dadu,Sindh,Pakistan,2018-11-30,26.61094388,67.4146844
153,1.084085891,0.040427124,Kabal,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.8618077,72.26853673
154,2.09029165,0.154754414,Kabirwala,Khanewal,Punjab,Pakistan,2018-11-30,30.51131098,71.89423333
155,3.69595459,0.350295422,Kahan,Kohlu,Balochistan,Pakistan,2018-11-30,29.41887595,68.8536718
156,1.696256576,0.066497536,Kahror Pacca,Lodhran,Punjab,Pakistan,2018-11-30,29.64261241,71.89153802
157,1.301859375,0.060294864,Kahuta,Rawalpindi,Punjab,Pakistan,2018-11-30,33.60689041,73.47313776
158,1.74769623,0.067440014,Kairpur Tamewali,Bahawalpur,Punjab,Pakistan,2018-11-30,29.5964685,72.1744631
159,3.783887084,0.417070602,Kakar Khurasan,Zhob,Balochistan,Pakistan,2018-11-30,31.49631416,68.47225171
160,2.222420644,0.2091156,Kalam,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.6215088,72.53636832
161,4.824096296,0.940098842,Kalat,Kalat,Balochistan,Pakistan,2018-11-30,29.0992123,66.72767134
162,1.841243112,0.076265294,Kalkot,Upper Dir,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.51520397,72.22739212
163,1.507162411,0.080344987,Kallar Kahar,Chakwal,Punjab,Pakistan,2018-11-30,32.76015316,72.66984469
164,1.371700291,0.045557736,Kallar Sayedan,Rawalpindi,Punjab,Pakistan,2018-11-30,33.43896635,73.45062568
165,1.938362558,0.167005882,Kalurkot,Bhakkar,Punjab,Pakistan,2018-11-30,32.05778643,71.42398966
166,2.223346291,0.104991823,Kamalia,Toba Tek Singh,Punjab,Pakistan,2018-11-30,30.66820456,72.49507999
167,3.015628821,0.251868018,Kambar Ali Khan,Qambar Shahdadkot,Sindh,Pakistan,2018-11-30,27.60011397,67.57277118
168,1.652633311,0.064693025,Kamoke,Gujranwala,Punjab,Pakistan,2018-11-30,31.99035143,74.33464606
169,1.43698524,0.054702659,Kan Mehtarzai,Killa Saifullah,Balochistan,Pakistan,2018-11-30,30.75935674,67.60491023
170,1.702865619,0.082702122,Kandiaro,Naushahro Feroze,Sindh,Pakistan,2018-11-30,27.08489325,68.16624899
171,1.323168098,0.058696574,Kanhdkot,Kashmore,Sindh,Pakistan,2018-11-30,28.18007698,69.15741267
172,1.880805822,0.090017901,Kanraj,Las Bela,Balochistan,Pakistan,2018-11-30,26.15316322,66.7802146
173,0.358303869,0.005844544,Karachi Central,Karachi City,Sindh,Pakistan,2018-11-30,24.94442995,67.0520459
174,0.918804531,0.01391952,Karachi East,Karachi City,Sindh,Pakistan,2018-11-30,24.86858067,67.11571182
175,0.488032829,0.005562194,Karachi South,Karachi City,Sindh,Pakistan,2018-11-30,24.82960978,67.03598816
176,2.331290796,0.087886296,Karachi West,Karachi City,Sindh,Pakistan,2018-11-30,24.99556983,66.97671123
177,1.759142721,0.066499711,Karak,Karak,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.12952913,71.14034268
178,2.26494131,0.145266335,Karezat,Pishin,Balochistan,Pakistan,2018-11-30,30.59963329,67.2758962
179,1.772892196,0.134214411,Karor Lal Esan,Layyah,Punjab,Pakistan,2018-11-30,31.20920962,71.01179023
180,2.076694806,0.115076124,Kashmore,Kashmore,Sindh,Pakistan,2018-11-30,28.33075005,69.45240523
181,2.485221572,0.182980399,Kasur,Kasur,Punjab,Pakistan,2018-11-30,31.10954666,74.34044401
182,1.056093672,0.029493745,Katlang,Mardan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.42695383,72.08443603
183,1.708689299,0.093378093,Kazi Ahmed,Shaheed Benazirabad,Sindh,Pakistan,2018-11-30,26.4304723,68.05497144
184,5.409406131,1.077714718,Kech,Kech,Balochistan,Pakistan,2018-11-30,25.90146406,63.57564839
185,2.360720233,0.057321068,Keti Bander,Thatta,Sindh,Pakistan,2018-11-30,24.15436241,67.4925359
186,1.462680754,0.043830061,Khairpur,Khairpur,Sindh,Pakistan,2018-11-30,27.51382198,68.71314452
187,2.774256407,0.237096689,Khairpur Nathan Shah,Dadu,Sindh,Pakistan,2018-11-30,27.11546598,67.41673433
188,1.578038453,0.094817026,Khanewal,Khanewal,Punjab,Pakistan,2018-11-30,30.29248572,72.02868326
189,2.58515754,0.14708004,Khangarh,Ghotki,Sindh,Pakistan,2018-11-30,27.59747264,69.53013058
190,2.709211225,0.157974195,Khanpur (Rahim Yar Khan),Rahim Yar Khan,Punjab,Pakistan,2018-11-30,28.70597125,70.60341753
191,1.307480693,0.06285386,Khanpur (Shikarpur),Shikarpur,Sindh,Pakistan,2018-11-30,28.04401798,68.81167139
192,1.122599445,0.027155627,Khar,Bajaur,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.72456968,71.48362227
193,4.615352912,0.985418318,Kharan,Kharan,Balochistan,Pakistan,2018-11-30,28.61272678,65.46708606
194,1.735995676,0.121182713,Kharian,Gujrat,Punjab,Pakistan,2018-11-30,32.75064083,73.89881711
195,1.487157957,0.0612002,Kharochan,Sujawal,Sindh,Pakistan,2018-11-30,23.98390968,67.6149383
196,3.659533906,0.532861646,Khipro,Sanghar,Sindh,Pakistan,2018-11-30,25.88375664,69.62433091
197,3.476533738,0.267774958,Khushab,Khushab,Punjab,Pakistan,2018-11-30,32.40296316,72.30474769
198,5.277437601,0.943818843,Khuzdar,Khuzdar,Balochistan,Pakistan,2018-11-30,27.89630244,66.85761824
199,0.79241225,0.028309788,Khwazakhela,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.99184455,72.53114248
200,2.803938264,0.269435164,Killa Abdullah,Killa Abdullah,Balochistan,Pakistan,2018-11-30,30.46950715,66.60222114
201,3.747576207,0.435508065,Killa Saifullah,Killa Saifullah,Balochistan,Pakistan,2018-11-30,30.83122183,68.54317244
202,1.093503082,0.051583229,Kingri,Khairpur,Sindh,Pakistan,2018-11-30,27.6073521,68.59399386
203,3.03378812,0.169002514,Kohat,Kohat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.54840365,71.58236713
204,1.502892767,0.087286371,Kohlu,Kohlu,Balochistan,Pakistan,2018-11-30,29.9103023,69.19558064
205,2.85589607,0.298874476,Kot Addu,Muzaffargarh,Punjab,Pakistan,2018-11-30,30.45755879,71.11983728
206,1.007317584,0.047050785,Kot Diji,Khairpur,Sindh,Pakistan,2018-11-30,27.33237068,68.65834059
207,1.22889144,0.070299603,Kot Ghulam Muhammad,Mirpur Khas,Sindh,Pakistan,2018-11-30,25.26592022,69.23404279
208,1.452943918,0.085171017,Kot Momin,Sargodha,Punjab,Pakistan,2018-11-30,32.09851864,73.12414144
209,1.094851698,0.033659556,Kotli Sattian,Rawalpindi,Punjab,Pakistan,2018-11-30,33.80133894,73.47988498
210,1.850719487,0.109337535,Kotri,Jamshoro,Sindh,Pakistan,2018-11-30,25.50663753,68.17268819
211,1.693099075,0.106908634,Kulachi,Dera Ismail Khan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.00914273,70.44096036
212,1.194415885,0.064670841,Kunri,Umerkot,Sindh,Pakistan,2018-11-30,25.07924503,69.55517375
213,1.565183294,0.13602264,Kut Mandai,Sibi,Balochistan,Pakistan,2018-11-30,29.77238894,68.29063643
214,2.357398297,0.119538605,Lachi,Kohat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.32516965,71.47881573
215,1.821729301,0.040942223,Ladha,South Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.60901474,69.96344595
216,1.205691175,0.045428249,Lahor,Swabi,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.05714247,72.31059842
217,1.559129376,0.10207555,Lahore Cantt,Lahore,Punjab,Pakistan,2018-11-30,31.49127569,74.45073958
218,1.788448057,0.061926514,Lahore City,Lahore,Punjab,Pakistan,2018-11-30,31.42200316,74.21048632
219,0.838494702,0.034947205,Lakhi,Shikarpur,Sindh,Pakistan,2018-11-30,27.87474194,68.74338458
220,1.386183175,0.103025974,Lakhra,Las Bela,Balochistan,Pakistan,2018-11-30,25.88396562,66.3819561
221,3.189826614,0.248169183,Lakki Marwat,Lakki Marwat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.56202143,70.85537789
222,1.569792988,0.075157215,Landi Kotal,Khyber,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.10961491,71.14278233
223,1.145995442,0.051903382,Larkana,Larkana,Sindh,Pakistan,2018-11-30,27.55937089,68.19349526
224,0.768090573,0.022195855,Latifabad,Hyderabad,Sindh,Pakistan,2018-11-30,25.2736933,68.388616
225,2.082926499,0.190749474,Layyah,Layyah,Punjab,Pakistan,2018-11-30,30.86879112,71.0033654
226,2.326545861,0.181032929,Lehri,Lehri,Balochistan,Pakistan,2018-11-30,29.09249105,68.13290661
227,5.941434681,0.646433707,Liaquatpur,Rahim Yar Khan,Punjab,Pakistan,2018-11-30,28.35730182,70.73349108
228,5.554679641,0.200973235,Liari,Las Bela,Balochistan,Pakistan,2018-11-30,25.52357952,65.84657309
229,1.884951104,0.106338609,Lodhran,Lodhran,Punjab,Pakistan,2018-11-30,29.5850308,71.54988076
230,2.767390251,0.166696786,Loi Band,Killa Saifullah,Balochistan,Pakistan,2018-11-30,31.0903483,67.84051177
231,4.567628384,0.356797546,Loralai,Loralai,Balochistan,Pakistan,2018-11-30,30.46749833,68.77764096
232,1.622628862,0.091772618,Lower Kurram,Kurram,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.55906544,70.32195522
233,1.452813576,0.05056006,Lower Orakzai,Orakzai,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.75139698,71.16450035
234,3.523041554,0.309326677,Mach,Kachhi,Balochistan,Pakistan,2018-11-30,29.5404088,67.53434909
235,2.744737251,0.149283814,Mailsi,Vehari,Punjab,Pakistan,2018-11-30,29.87843009,72.07653983
236,1.538464557,0.035463676,Makin,South Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.65663937,69.86308241
237,1.501087897,0.073499827,Malakwal,Mandi Bahauddin,Punjab,Pakistan,2018-11-30,32.42435734,73.23941474
238,3.757800344,0.21368725,Malir,Karachi City,Sindh,Pakistan,2018-11-30,25.12838964,67.30394902
239,0.758737307,0.026272056,Mamund,Bajaur,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.8279816,71.38678089
240,2.047294741,0.199052862,Mand,Kech,Balochistan,Pakistan,2018-11-30,25.99083702,61.96469761
241,1.280734103,0.08181606,Mandi Bahauddin,Mandi Bahauddin,Punjab,Pakistan,2018-11-30,32.55320263,73.51795824
242,3.211858805,0.218749492,Manjhand,Jamshoro,Sindh,Pakistan,2018-11-30,25.86034768,68.05971196
243,2.692393983,0.337397229,Mankera,Bhakkar,Punjab,Pakistan,2018-11-30,31.43573734,71.62428173
244,2.002504254,0.134772159,Mansehra,Mansehra,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.47476794,73.18427553
245,1.745043087,0.09150649,Mardan,Mardan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.27133413,72.16853982
246,0.558680287,0.014873666,Martung,Shangla,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.62389246,72.75590667
247,2.696250986,0.322927165,Mashkai,Awaran,Balochistan,Pakistan,2018-11-30,26.97305244,65.57439696
248,5.303876618,1.301863856,Mashkhel,Washuk,Balochistan,Pakistan,2018-11-30,27.65982332,63.52547048
249,6.293462705,0.876398153,Mastuj,Chitral,Khyber Pakhtunkhwa,Pakistan,2018-11-30,36.45640506,72.55424615
250,3.102129697,0.277230413,Mastung,Mastung,Balochistan,Pakistan,2018-11-30,29.74572248,66.59732127
251,1.386576409,0.06424714,Matiari,Matiari,Sindh,Pakistan,2018-11-30,25.6279219,68.52232879
252,1.749078697,0.095207571,Matli,Badin,Sindh,Pakistan,2018-11-30,25.10502618,68.84113534
253,0.966381682,0.031196015,Matta Khararai,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.06228622,72.40355231
254,1.039081144,0.035874177,Matta Sebujni,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.03491444,72.30023474
255,3.175347237,0.278495041,Mawand,Kohlu,Balochistan,Pakistan,2018-11-30,29.70198504,68.72867112
256,1.741584664,0.090494108,Mehar,Dadu,Sindh,Pakistan,2018-11-30,27.21504868,67.76079216
257,2.13412539,0.112994624,Mian Channu,Khanewal,Punjab,Pakistan,2018-11-30,30.36210479,72.28663262
258,2.77945906,0.283609398,Mianwali,Mianwali,Punjab,Pakistan,2018-11-30,32.67197626,71.66940306
259,2.008821195,0.132930154,Minchinabad,Bahawalnagar,Punjab,Pakistan,2018-11-30,30.14673095,73.64952011
260,1.30810808,0.062206012,Mir Ali,North Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.96058741,70.2405908
261,1.182982382,0.039864746,Miran Shah,North Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.98532194,70.03449443
262,1.394135475,0.07065165,Miro Khan,Qambar Shahdadkot,Sindh,Pakistan,2018-11-30,27.77481407,68.00328327
263,1.264550289,0.0647636,Mirpur Bathoro,Sujawal,Sindh,Pakistan,2018-11-30,24.78956364,68.23762659
264,1.348537173,0.092572099,Mirpur Khas,Mirpur Khas,Sindh,Pakistan,2018-11-30,25.54190582,69.02952217
265,2.417540587,0.067834662,Mirpur Mathelo,Ghotki,Sindh,Pakistan,2018-11-30,27.7864233,69.55978544
266,8.288511661,0.202482149,Mirpur Sakro,Thatta,Sindh,Pakistan,2018-11-30,24.60039715,67.51322408
267,1.146732958,0.061828113,Mirwah,Khairpur,Sindh,Pakistan,2018-11-30,27.07218306,68.5362964
268,3.684281761,0.471922901,Mithi,Tharparkar,Sindh,Pakistan,2018-11-30,24.62317636,70.08558755
269,1.27965575,0.068510821,Moro,Naushahro Feroze,Sindh,Pakistan,2018-11-30,26.69436362,67.95844284
270,0.911160275,0.026746508,Multan City,Multan,Punjab,Pakistan,2018-11-30,30.1868854,71.45234902
271,3.304342287,0.154650319,Multan Saddar,Multan,Punjab,Pakistan,2018-11-30,30.14421349,71.54950679
272,1.489883609,0.079612927,Muridke,Sheikhupura,Punjab,Pakistan,2018-11-30,31.87222491,74.44778623
273,1.150068655,0.037290099,Murree,Rawalpindi,Punjab,Pakistan,2018-11-30,33.87424995,73.39239543
274,3.808317279,0.563897526,Musakhel,Musakhel,Balochistan,Pakistan,2018-11-30,30.8704803,69.92031632
275,1.837771225,0.136878219,Muslim Bagh,Killa Saifullah,Balochistan,Pakistan,2018-11-30,30.77206741,67.97090684
276,3.880206651,0.207228375,Muzaffargarh,Muzaffargarh,Punjab,Pakistan,2018-11-30,30.07141809,71.14862916
277,3.758670235,0.435954276,Nag,Washuk,Balochistan,Pakistan,2018-11-30,28.28704871,64.47186161
278,3.176160836,0.34339491,Nagarparkar,Tharparkar,Sindh,Pakistan,2018-11-30,24.61276513,70.77283738
279,4.599235381,0.637198413,Nal,Khuzdar,Balochistan,Pakistan,2018-11-30,27.26227295,66.07604838
280,2.809133514,0.154241495,Nankana Sahib,Nankana Sahib,Punjab,Pakistan,2018-11-30,31.34960526,73.75574941
281,5.29361343,1.049974544,Nara,Khairpur,Sindh,Pakistan,2018-11-30,26.67414358,69.29018464
282,1.756136562,0.104125013,Narowal,Narowal,Punjab,Pakistan,2018-11-30,32.15039223,74.82926779
